File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/486.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 6
Injection Number	7
Position	
Comment	$$ 2.1 vial 2:A,7 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	12:12:38
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.261689
Signal Max.	27.112921
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
3.908333	0.5	0.118193
3.916667	0.5	0.131670
3.925000	0.5	0.146123
3.933333	0.5	0.159990
3.941667	0.5	0.173857
3.950000	0.5	0.187139
3.958333	0.5	0.198467
3.966667	0.5	0.207842
3.975000	0.5	0.215850
3.983333	0.5	0.220342
3.991667	0.5	0.219170
4.000000	0.5	0.214678
4.008333	0.5	0.211162
4.016667	0.5	0.209404
4.025000	0.5	0.206670
4.033333	0.5	0.199443
4.041667	0.5	0.187139
4.050000	0.5	0.172490
4.058333	0.5	0.159795
4.066667	0.5	0.147881
4.075000	0.5	0.136162
4.083333	0.5	0.125615
4.091667	0.5	0.117803
4.100000	0.5	0.112334
4.108333	0.5	0.106279
4.116667	0.5	0.098272
4.125000	0.5	0.090459
4.133333	0.5	0.085381
4.141667	0.5	0.082647
4.150000	0.5	0.081279
4.158333	0.5	0.081865
4.166667	0.5	0.083623
4.175000	0.5	0.085381
4.183333	0.5	0.083623
4.191667	0.5	0.078545
4.200000	0.5	0.073076
4.208333	0.5	0.070537
4.216667	0.5	0.072490
4.225000	0.5	0.075225
4.233333	0.5	0.077959
4.241667	0.5	0.080693
4.250000	0.5	0.083232
4.258333	0.5	0.084600
4.266667	0.5	0.083428
4.275000	0.5	0.082061
4.283333	0.5	0.080693
4.291667	0.5	0.079326
4.300000	0.5	0.075811
4.308333	0.5	0.071514
4.316667	0.5	0.070342
4.325000	0.5	0.072295
4.333333	0.5	0.075615
4.341667	0.5	0.075420
4.350000	0.5	0.070732
4.358333	0.5	0.063115
4.366667	0.5	0.055889
4.375000	0.5	0.051397
4.383333	0.5	0.049053
4.391667	0.5	0.048662
4.400000	0.5	0.048662
4.408333	0.5	0.049248
4.416667	0.5	0.048467
4.425000	0.5	0.047100
4.433333	0.5	0.046709
4.441667	0.5	0.047686
4.450000	0.5	0.051006
4.458333	0.5	0.053154
4.466667	0.5	0.052764
4.475000	0.5	0.049834
4.483333	0.5	0.046904
4.491667	0.5	0.045928
4.500000	0.5	0.048662
4.508333	0.5	0.054522
4.516667	0.5	0.063701
4.525000	0.5	0.072100
4.533333	0.5	0.080107
4.541667	0.5	0.087139
4.550000	0.5	0.091826
4.558333	0.5	0.093389
4.566667	0.5	0.089483
4.575000	0.5	0.080693
4.583333	0.5	0.068779
4.591667	0.5	0.056865
4.600000	0.5	0.049248
4.608333	0.5	0.046709
4.616667	0.5	0.047881
4.625000	0.5	0.050420
4.633333	0.5	0.053740
4.641667	0.5	0.058232
4.650000	0.5	0.063506
4.658333	0.5	0.068193
4.666667	0.5	0.068975
4.675000	0.5	0.064873
4.683333	0.5	0.057256
4.691667	0.5	0.049834
4.700000	0.5	0.047295
4.708333	0.5	0.047686
4.716667	0.5	0.049443
4.725000	0.5	0.051982
4.733333	0.5	0.056670
4.741667	0.5	0.060967
4.750000	0.5	0.062139
4.758333	0.5	0.059795
4.766667	0.5	0.055889
4.775000	0.5	0.054717
4.783333	0.5	0.056475
4.791667	0.5	0.059404
4.800000	0.5	0.061357
4.808333	0.5	0.063115
4.816667	0.5	0.065654
4.825000	0.5	0.066826
4.833333	0.5	0.065459
4.841667	0.5	0.061357
4.850000	0.5	0.055889
4.858333	0.5	0.052764
4.866667	0.5	0.053740
4.875000	0.5	0.057061
4.883333	0.5	0.062334
4.891667	0.5	0.069170
4.900000	0.5	0.077959
4.908333	0.5	0.086748
4.916667	0.5	0.091436
4.925000	0.5	0.091436
4.933333	0.5	0.086943
4.941667	0.5	0.080498
4.950000	0.5	0.073076
4.958333	0.5	0.065850
4.966667	0.5	0.058623
4.975000	0.5	0.052959
4.983333	0.5	0.052568
4.991667	0.5	0.053740
5.000000	0.5	0.055889
5.008333	0.5	0.057256
5.016667	0.5	0.056475
5.025000	0.5	0.056475
5.033333	0.5	0.060576
5.041667	0.5	0.067022
5.050000	0.5	0.073076
5.058333	0.5	0.075615
5.066667	0.5	0.072490
5.075000	0.5	0.066631
5.083333	0.5	0.060967
5.091667	0.5	0.058428
5.100000	0.5	0.060576
5.108333	0.5	0.064482
5.116667	0.5	0.069170
5.125000	0.5	0.072295
5.133333	0.5	0.072490
5.141667	0.5	0.067607
5.150000	0.5	0.058428
5.158333	0.5	0.046709
5.166667	0.5	0.038701
5.175000	0.5	0.035772
5.183333	0.5	0.037529
5.191667	0.5	0.041826
5.200000	0.5	0.046709
5.208333	0.5	0.051006
5.216667	0.5	0.055107
5.225000	0.5	0.058818
5.233333	0.5	0.060381
5.241667	0.5	0.061748
5.250000	0.5	0.063897
5.258333	0.5	0.067412
5.266667	0.5	0.072881
5.275000	0.5	0.077568
5.283333	0.5	0.079717
5.291667	0.5	0.076982
5.300000	0.5	0.071904
5.308333	0.5	0.067412
5.316667	0.5	0.066631
5.325000	0.5	0.069170
5.333333	0.5	0.072490
5.341667	0.5	0.073076
5.350000	0.5	0.072295
5.358333	0.5	0.071123
5.366667	0.5	0.072686
5.375000	0.5	0.075420
5.383333	0.5	0.076982
5.391667	0.5	0.074834
5.400000	0.5	0.067803
5.408333	0.5	0.058818
5.416667	0.5	0.050029
5.425000	0.5	0.045537
5.433333	0.5	0.045147
5.441667	0.5	0.047881
5.450000	0.5	0.051201
5.458333	0.5	0.052568
5.466667	0.5	0.050811
5.475000	0.5	0.047881
5.483333	0.5	0.044951
5.491667	0.5	0.045342
5.500000	0.5	0.047490
5.508333	0.5	0.050029
5.516667	0.5	0.052568
5.525000	0.5	0.055303
5.533333	0.5	0.061748
5.541667	0.5	0.068779
5.550000	0.5	0.074834
5.558333	0.5	0.075420
5.566667	0.5	0.070537
5.575000	0.5	0.062334
5.583333	0.5	0.052959
5.591667	0.5	0.048272
5.600000	0.5	0.047686
5.608333	0.5	0.050615
5.616667	0.5	0.055889
5.625000	0.5	0.061357
5.633333	0.5	0.065654
5.641667	0.5	0.067022
5.650000	0.5	0.065068
5.658333	0.5	0.060381
5.666667	0.5	0.054131
5.675000	0.5	0.048857
5.683333	0.5	0.044756
5.691667	0.5	0.040654
5.700000	0.5	0.039092
5.708333	0.5	0.042803
5.716667	0.5	0.049834
5.725000	0.5	0.057647
5.733333	0.5	0.059209
5.741667	0.5	0.053740
5.750000	0.5	0.049053
5.758333	0.5	0.048076
5.766667	0.5	0.051201
5.775000	0.5	0.053154
5.783333	0.5	0.051397
5.791667	0.5	0.044756
5.800000	0.5	0.035967
5.808333	0.5	0.027764
5.816667	0.5	0.020732
5.825000	0.5	0.015850
5.833333	0.5	0.015459
